Date,Bitcoin_price
2022-03-01,44354.636719
2022-03-02,43924.117188
2022-03-03,42451.789063
2022-03-04,39137.605469
2022-03-05,39400.585938
2022-03-06,38419.984375
2022-03-07,38062.039063
2022-03-08,38737.269531
2022-03-09,41982.925781
2022-03-10,39437.460938
2022-03-11,38794.972656
2022-03-12,38904.011719
2022-03-13,37849.664063
2022-03-14,39666.753906
2022-03-15,39338.785156
2022-03-16,41143.929688
2022-03-17,40951.378906
2022-03-18,41801.15625
2022-03-19,42190.652344
2022-03-20,41247.824219
2022-03-21,41077.996094
2022-03-22,42358.808594
2022-03-23,42892.957031
2022-03-24,43960.933594
2022-03-25,44348.730469
2022-03-26,44500.828125
2022-03-27,45691.6035155
2022-03-28,46882.378906
