Date,Oil_price,Silver_price,Gold_price,Bitcoin_price
2021-01-01,51.09,26.525,1901.6,29374.152344
2021-01-02,51.09,26.7665,1924.2,32127.267578
2021-01-03,51.09,27.008,1946.8,32782.023438
2021-01-04,51.09,27.584,1969.4,31971.914063
2021-01-05,53.6,27.867,1977.6,33992.429688
2021-01-06,54.3,27.27,1932.3,36824.363281
2021-01-07,54.38,27.473,1935.5,39371.042969
2021-01-08,55.99,24.845,1856.9,40797.609375
2021-01-09,55.88,24.988999999999997,1862.0333333333333,40254.546875
2021-01-10,55.769999999999996,25.133,1867.1666666666667,38356.441406
2021-01-11,55.66,25.478,1872.3,35566.65625
2021-01-12,56.58,25.637,1865.1,33922.960938
2021-01-13,56.06,25.768,1875.4,37316.359375
2021-01-14,56.42,25.997,1871.9,39187.328125
2021-01-15,55.1,25.054,1849.1,36825.367188
2021-01-16,54.983333333333334,24.6535,1829.425,36178.140625
2021-01-17,54.86666666666667,24.253,1809.75,35791.277344
2021-01-18,54.75,25.045,1836.6,36630.074219
2021-01-19,55.9,25.505,1857.6,36069.804688
2021-01-20,56.08,25.933,1883.1,35547.75
2021-01-21,56.1,26.02,1882.1,30825.699219
2021-01-22,55.41,25.717,1872.8,33005.761719
2021-01-23,55.56666666666666,25.665999999999997,1872.6,32067.642578
2021-01-24,55.723333333333336,25.615,1872.4,32289.378906
2021-01-25,55.88,25.65,1872.2,32366.392578
2021-01-26,55.91,25.701,1868.2,32569.849609
2021-01-27,55.81,25.548,1862.1,30432.546875
2021-01-28,55.53,26.058,1853.9,33466.097656
2021-01-29,55.88,27.037,1862.1,34316.386719
2021-01-30,56.03666666666667,27.9285,1866.1,34269.523438
2021-01-31,56.193333333333335,28.82,1870.1,33114.359375
2021-02-01,56.35,29.364,1874.1,33537.175781
2021-02-02,57.46,26.469,1845.7,35510.289063
2021-02-03,58.46,26.982,1847.7,37472.089844
2021-02-04,58.84,26.327,1803.5,36926.066406
2021-02-05,59.34,27.062,1825.6,38144.308594
2021-02-06,59.74666666666667,27.2025,1832.0666666666666,39266.011719
2021-02-07,60.153333333333336,27.343,1838.5333333333333,38903.441406
2021-02-08,60.56,27.602,1845.0,46196.464844
2021-02-09,61.09,27.448,1848.9,46481.105469
2021-02-10,61.47,27.134,1854.1,44918.183594
2021-02-11,61.14,27.118,1838.3,47909.332031
2021-02-12,62.43,27.38,1834.2,47504.851563
2021-02-13,62.72,27.445,1827.625,47105.515625
2021-02-14,63.01,27.51,1821.05,48717.289063
2021-02-15,63.3,27.672,1818.75,47945.058594
2021-02-16,63.35,27.369,1810.2,49199.871094
2021-02-17,64.34,27.362,1783.8,52149.007813
2021-02-18,63.93,27.134,1785.6,51679.796875
2021-02-19,62.91,27.321,1787.9,55888.132813
2021-02-20,63.68666666666666,27.399,1797.9333333333334,56099.519531
2021-02-21,64.46333333333332,27.477,1807.9666666666667,57539.945313
2021-02-22,65.24,28.166,1818.0,54207.320313
2021-02-23,65.37,27.782,1815.5,48824.425781
2021-02-24,67.04,27.963,1808.0,49705.332031
2021-02-25,66.88,27.733,1787.9,47093.851563
2021-02-26,66.13,26.498,1742.5,46339.761719
2021-02-27,65.31666666666666,26.665,1740.4,46188.453125
2021-02-28,64.50333333333333,26.832,1738.3,45137.769531
2021-03-01,63.69,26.728,1736.2,49631.242188
2021-03-02,62.7,26.933,1746.9,48378.988281
2021-03-03,64.07,26.451,1729.2,50538.242188
2021-03-04,66.74,25.527,1714.3,48561.167969
2021-03-05,69.36,25.355,1712.9,48927.304688
2021-03-06,68.98666666666666,25.4225,1705.7666666666667,48912.382813
2021-03-07,68.61333333333333,25.49,1698.6333333333334,51206.691406
2021-03-08,68.24,25.324,1691.5,52246.523438
2021-03-09,67.52,26.241,1729.9,54824.117188
2021-03-10,67.9,26.186,1733.9,56008.550781
2021-03-11,69.63,26.246,1734.4,57805.121094
2021-03-12,69.22,25.958,1730.5,57332.089844
