"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 23, 2022","1,921.90","1,919.60","1,924.55","1,915.70","-","0.02%"
"Mar 22, 2022","1,921.50","1,936.10","1,939.50","1,909.80","153.28K","-0.41%"
"Mar 21, 2022","1,929.50","1,922.40","1,941.80","1,917.20","146.41K","0.01%"
"Mar 18, 2022","1,929.30","1,943.90","1,946.20","1,918.00","150.88K","-0.72%"
"Mar 17, 2022","1,943.20","1,928.40","1,951.00","1,924.00","149.83K","1.78%"
"Mar 16, 2022","1,909.20","1,920.10","1,930.10","1,895.20","195.46K","-1.06%"
"Mar 15, 2022","1,929.70","1,953.70","1,956.90","1,908.10","220.37K","-1.59%"
"Mar 14, 2022","1,960.80","1,988.70","1,994.80","1,952.00","162.20K","-1.22%"
"Mar 11, 2022","1,985.00","2,000.30","2,004.00","1,960.60","262.09K","-0.77%"
"Mar 10, 2022","2,000.40","1,992.80","2,015.10","1,975.00","303.27K","0.61%"
"Mar 09, 2022","1,988.20","2,060.20","2,068.50","1,981.00","360.35K","-2.70%"
"Mar 08, 2022","2,043.30","2,001.00","2,078.80","1,985.80","447.65K","2.37%"
"Mar 07, 2022","1,995.90","1,978.50","2,007.50","1,964.20","372.19K","1.49%"
"Mar 04, 2022","1,966.60","1,938.50","1,974.90","1,931.50","241.53K","1.59%"
"Mar 03, 2022","1,935.90","1,931.70","1,944.60","1,923.10","180.21K","0.71%"
"Mar 02, 2022","1,922.30","1,945.30","1,951.40","1,916.00","227.98K","-1.11%"
"Mar 01, 2022","1,943.80","1,908.40","1,952.60","1,903.00","224.00K","2.27%"
"Feb 28, 2022","1,900.70","1,921.00","1,935.20","1,892.20","249.27K","0.69%"
"Feb 25, 2022","1,887.60","1,906.50","1,925.00","1,884.40","229.78K","-2.01%"
"Feb 24, 2022","1,926.30","1,911.90","1,976.50","1,878.60","423.05K","0.83%"
"Feb 23, 2022","1,910.40","1,901.20","1,912.90","1,891.10","154.84K","0.16%"
"Feb 22, 2022","1,907.40","1,903.50","1,918.30","1,889.70","334.59K","-0.24%"
"Feb 21, 2022","1,912.05","1,907.80","1,918.30","1,889.70","-","0.21%"
"Feb 20, 2022","1,908.00","1,900.80","1,909.35","1,900.80","-","0.43%"
"Feb 18, 2022","1,899.80","1,901.40","1,905.00","1,888.00","161.75K","-0.12%"
"Feb 17, 2022","1,902.00","1,872.00","1,904.00","1,869.70","268.55K","1.63%"
"Feb 16, 2022","1,871.50","1,855.50","1,874.60","1,851.80","141.49K","0.82%"
"Feb 15, 2022","1,856.20","1,873.80","1,881.60","1,845.40","214.88K","-0.71%"
"Feb 14, 2022","1,869.40","1,862.20","1,876.50","1,851.90","231.02K","1.48%"
"Feb 11, 2022","1,842.10","1,827.00","1,867.40","1,821.10","239.09K","0.26%"
"Feb 10, 2022","1,837.40","1,834.00","1,843.30","1,821.80","227.46K","0.04%"
"Feb 09, 2022","1,836.60","1,827.00","1,837.10","1,825.50","136.72K","0.48%"
"Feb 08, 2022","1,827.90","1,821.50","1,829.90","1,816.00","142.41K","0.33%"
"Feb 07, 2022","1,821.80","1,808.00","1,824.60","1,807.50","139.81K","0.77%"
"Feb 04, 2022","1,807.80","1,805.40","1,815.80","1,792.10","177.71K","0.21%"
"Feb 03, 2022","1,804.10","1,807.40","1,809.50","1,788.50","173.72K","-0.34%"
"Feb 02, 2022","1,810.30","1,800.80","1,812.00","1,794.60","123.02K","0.49%"
"Feb 01, 2022","1,801.50","1,798.90","1,809.70","1,796.20","128.88K","0.28%"
"Jan 31, 2022","1,796.40","1,792.80","1,800.90","1,785.80","139.42K","0.55%"
"Jan 28, 2022","1,786.60","1,799.60","1,800.30","1,780.60","217.15K","-0.47%"
"Jan 27, 2022","1,795.00","1,821.40","1,823.80","1,792.70","206.38K","-2.02%"
"Jan 26, 2022","1,832.00","1,850.70","1,852.60","1,816.40","154.39K","-1.24%"
"Jan 25, 2022","1,855.00","1,846.00","1,856.70","1,836.80","77.99K","0.59%"
"Jan 24, 2022","1,844.20","1,838.30","1,847.20","1,831.90","103.78K","0.55%"
"Jan 21, 2022","1,834.10","1,842.60","1,845.80","1,830.60","68.74K","-0.59%"
"Jan 20, 2022","1,844.90","1,842.90","1,850.80","1,838.40","80.38K","-0.03%"
"Jan 19, 2022","1,845.50","1,816.40","1,846.10","1,811.60","88.81K","1.69%"
"Jan 18, 2022","1,814.90","1,819.80","1,825.20","1,807.20","102.42K","-0.23%"
"Jan 17, 2022","1,819.05","1,815.85","1,822.90","1,812.25","-","0.18%"
"Jan 16, 2022","1,815.75","1,816.40","1,818.10","1,815.15","-","-0.18%"
"Jan 14, 2022","1,819.00","1,823.50","1,831.50","1,816.80","25.16K","-0.27%"
"Jan 13, 2022","1,823.90","1,828.00","1,830.50","1,814.30","86.51K","-0.32%"
"Jan 12, 2022","1,829.80","1,823.70","1,830.40","1,816.90","45.50K","0.48%"
"Jan 11, 2022","1,821.00","1,803.70","1,825.50","1,802.30","40.67K","1.09%"
"Jan 10, 2022","1,801.30","1,798.00","1,804.40","1,792.00","39.84K","0.08%"
"Jan 07, 2022","1,799.90","1,793.00","1,800.70","1,783.80","71.89K","0.47%"
"Jan 06, 2022","1,791.50","1,813.50","1,813.70","1,788.00","33.20K","-1.97%"
"Jan 05, 2022","1,827.50","1,817.00","1,832.60","1,811.60","10.32K","0.58%"
"Jan 04, 2022","1,817.00","1,804.50","1,819.50","1,800.60","10.86K","0.81%"
"Jan 03, 2022","1,802.40","1,832.90","1,835.40","1,800.50","9.97K","-1.56%"
"Dec 31, 2021","1,831.00","1,819.10","1,833.60","1,818.00","5.23K","0.79%"
"Dec 30, 2021","1,816.60","1,807.40","1,820.30","1,798.80","6.52K","0.46%"
"Dec 29, 2021","1,808.20","1,809.80","1,810.00","1,791.90","3.24K","-0.28%"
"Dec 28, 2021","1,813.30","1,814.90","1,823.60","1,808.00","2.64K","0.12%"
"Dec 27, 2021","1,811.10","1,809.00","1,816.80","1,806.00","2.57K","0.06%"
"Dec 24, 2021","1,810.10","1,810.10","1,810.10","1,810.10","-","-0.21%"
"Dec 23, 2021","1,814.00","1,806.90","1,814.20","1,801.60","2.46K","0.52%"
"Dec 22, 2021","1,804.60","1,791.80","1,808.10","1,788.60","1.60K","0.75%"
"Dec 21, 2021","1,791.10","1,794.30","1,803.60","1,787.60","4.59K","-0.32%"
"Dec 20, 2021","1,796.90","1,802.40","1,805.50","1,791.40","3.80K","-0.58%"
"Dec 17, 2021","1,807.30","1,803.70","1,818.00","1,799.30","8.37K","0.37%"
"Dec 16, 2021","1,800.70","1,781.20","1,803.10","1,778.40","7.25K","1.91%"
"Dec 15, 2021","1,766.90","1,774.30","1,783.30","1,755.40","1.84K","-0.44%"
"Dec 14, 2021","1,774.70","1,790.00","1,791.40","1,768.60","6.65K","-0.89%"
"Dec 13, 2021","1,790.60","1,786.60","1,794.20","1,784.60","5.02K","0.20%"
"Dec 10, 2021","1,787.00","1,779.10","1,793.10","1,772.90","6.46K","0.46%"
"Dec 09, 2021","1,778.90","1,786.40","1,790.40","1,775.40","5.16K","-0.49%"
"Dec 08, 2021","1,787.60","1,788.10","1,796.20","1,782.60","2.70K","0.04%"
"Dec 07, 2021","1,786.80","1,782.10","1,791.20","1,774.50","5.25K","0.30%"
"Dec 06, 2021","1,781.50","1,790.00","1,790.10","1,778.70","2.89K","-0.24%"
"Dec 03, 2021","1,785.80","1,772.50","1,789.60","1,768.50","6.77K","1.20%"
"Dec 02, 2021","1,764.70","1,786.10","1,786.90","1,764.20","5.57K","-1.21%"
"Dec 01, 2021","1,786.30","1,778.40","1,796.20","1,775.70","4.08K","0.45%"
"Nov 30, 2021","1,778.30","1,788.80","1,813.10","1,773.20","3.42K","-0.49%"
"Nov 29, 2021","1,787.10","1,792.40","1,803.00","1,784.00","3.17K","-0.16%"
"Nov 26, 2021","1,789.90","1,791.30","1,820.80","1,785.30","6.66K","-0.14%"
"Nov 25, 2021","1,792.40","1,789.80","1,795.30","1,787.75","-","0.20%"
"Nov 24, 2021","1,788.80","1,793.90","1,800.10","1,782.40","4.60K","0.04%"
"Nov 23, 2021","1,788.10","1,813.30","1,816.40","1,786.60","6.13K","-1.26%"
"Nov 22, 2021","1,811.00","1,852.50","1,853.70","1,807.40","10.12K","-2.43%"
"Nov 19, 2021","1,856.10","1,865.30","1,872.10","1,849.20","3.85K","-0.51%"
"Nov 18, 2021","1,865.70","1,874.60","1,875.80","1,861.00","3.74K","-0.46%"
"Nov 17, 2021","1,874.40","1,855.90","1,874.60","1,855.90","2.28K","0.87%"
"Nov 16, 2021","1,858.30","1,868.40","1,882.50","1,855.50","3.77K","-0.67%"
"Nov 15, 2021","1,870.80","1,875.60","1,876.30","1,862.90","11.81K","-0.07%"
"Nov 12, 2021","1,872.20","1,867.30","1,875.00","1,851.90","1.98K","0.24%"
"Nov 11, 2021","1,867.70","1,854.00","1,872.10","1,849.40","5.09K","0.85%"
"Nov 10, 2021","1,852.00","1,837.20","1,872.10","1,826.80","8.35K","0.95%"
"Nov 09, 2021","1,834.50","1,827.80","1,838.40","1,825.60","6.16K","0.15%"
"Nov 08, 2021","1,831.80","1,823.00","1,831.80","1,818.00","4.62K","0.62%"
"Nov 05, 2021","1,820.60","1,799.20","1,823.00","1,789.20","4.13K","1.31%"
"Nov 04, 2021","1,797.10","1,781.90","1,803.20","1,774.60","3.73K","1.67%"
"Nov 03, 2021","1,767.50","1,787.00","1,789.20","1,762.80","2.37K","-1.42%"
"Nov 02, 2021","1,793.00","1,796.40","1,801.10","1,791.50","1.08K","-0.36%"
"Nov 01, 2021","1,799.50","1,784.40","1,801.00","1,784.30","3.43K","0.67%"
"Oct 29, 2021","1,787.60","1,804.80","1,805.90","1,776.20","0.98K","-1.04%"
"Oct 28, 2021","1,806.40","1,800.60","1,814.10","1,797.20","2.32K","0.21%"
"Oct 27, 2021","1,802.60","1,797.60","1,804.00","1,788.60","0.84K","0.31%"
"Oct 26, 2021","1,797.10","1,810.60","1,810.60","1,788.00","0.73K","-0.73%"
"Oct 25, 2021","1,810.40","1,798.70","1,814.60","1,798.70","0.95K","0.58%"
"Oct 22, 2021","1,800.00","1,790.50","1,818.60","1,787.80","1.39K","0.82%"
